"subjID","cond1","cond2","infoType","choice","outAbs","outRel","out_c_abs","out_c_rel"
115,3,3,0,2,0,1,-1,0
115,2,2,1,2,0.1,1,0,0
115,2,2,1,2,0,0,0,0
115,1,1,0,1,0,0,1,1
115,1,1,0,2,1,1,0,0
115,4,4,1,2,0,1,-0.1,0
115,1,1,0,2,1,1,0,0
115,2,2,1,2,0.1,1,0.1,1
115,3,3,0,2,0,1,-1,0
115,2,2,1,2,0.1,1,0,0
115,3,3,0,2,-1,0,-1,0
115,4,4,1,2,0,1,-0.1,0
115,4,4,1,2,0,1,0,1
115,4,4,1,1,-0.1,0,-0.1,0
115,3,3,0,2,0,1,0,1
115,7,3,1,2,0,1,-1,0
115,8,4,0,2,0,1,-0.1,0
115,5,1,1,2,1,1,0,0
115,6,2,0,2,0.1,1,0.1,1
115,7,3,1,2,0,1,-1,0
115,8,4,0,2,0,1,-0.1,0
115,6,2,0,2,0.1,1,0,0
115,7,3,1,2,0,1,-1,0
115,8,4,0,2,0,1,0,1
115,7,3,1,2,-1,0,0,1
115,6,2,0,2,0,0,0,0
115,5,1,1,2,0,0,0,0
115,5,1,1,2,1,1,1,1
115,8,4,0,2,-0.1,0,-0.1,0
115,5,1,1,2,1,1,0,0
115,6,2,0,2,0.1,1,0,0
115,5,1,1,2,1,1,0,0
115,5,1,1,2,1,1,0,0
115,8,4,0,2,0,1,0,1
115,6,2,0,2,0.1,1,0,0
115,5,1,1,2,1,1,0,0
115,6,2,0,2,0.1,1,0,0
115,6,2,0,2,0.1,1,0,0
115,7,3,1,2,-1,0,0,1
115,5,1,1,2,0,0,1,1
115,7,3,1,1,-1,0,0,1
115,6,2,0,2,0,0,0.1,1
115,8,4,0,2,-0.1,0,-0.1,0
115,8,4,0,2,0,1,-0.1,0
115,7,3,1,2,0,1,-1,0
115,8,4,0,2,0,1,-0.1,0
115,7,3,1,2,0,1,-1,0
115,6,2,0,2,0,0,0,0
115,6,2,0,2,0.1,1,0.1,1
115,5,1,1,2,0,0,0,0
115,7,3,1,2,-1,0,0,1
115,6,2,0,2,0.1,1,0,0
115,5,1,1,2,1,1,1,1
115,8,4,0,2,0,1,-0.1,0
115,5,1,1,2,1,1,0,0
115,8,4,0,2,0,1,0,1
115,8,4,0,2,0,1,-0.1,0
115,7,3,1,2,0,1,-1,0
115,5,1,1,2,1,1,0,0
115,7,3,1,2,0,1,-1,0
115,8,4,0,2,-0.1,0,-0.1,0
115,6,2,0,2,0.1,1,0,0
115,7,3,1,2,0,1,-1,0
115,8,4,0,2,0,1,0,1
115,6,2,0,2,0.1,1,0.1,1
115,6,2,0,2,0,0,0,0
115,7,3,1,2,0,1,-1,0
115,7,3,1,2,0,1,0,1
115,8,4,0,2,0,1,-0.1,0
115,5,1,1,2,1,1,0,0
115,8,4,0,2,0,1,-0.1,0
115,6,2,0,2,0.1,1,0,0
115,6,2,0,2,0.1,1,0,0
115,5,1,1,2,1,1,0,0
115,7,3,1,2,-1,0,-1,0
115,8,4,0,2,-0.1,0,-0.1,0
115,5,1,1,2,0,0,1,1
115,7,3,1,2,0,1,-1,0
115,5,1,1,2,1,1,0,0
115,6,2,0,2,0.1,1,0,0
115,7,3,1,2,0,1,-1,0
115,6,2,0,2,0.1,1,0,0
115,7,3,1,2,-1,0,0,1
115,8,4,0,2,0,1,-0.1,0
115,8,4,0,2,0,1,-0.1,0
115,6,2,0,2,0,0,0,0
115,7,3,1,2,0,1,-1,0
115,5,1,1,2,0,0,0,0
115,5,1,1,2,1,1,1,1
115,8,4,0,2,-0.1,0,0,1
115,6,2,0,2,0.1,1,0.1,1
115,8,4,0,2,0,1,-0.1,0
115,5,1,1,2,1,1,0,0
115,5,1,1,2,1,1,0,0
115,7,3,1,2,0,1,-1,0
