"subjID","cond1","cond2","infoType","choice","outAbs","outRel","out_c_abs","out_c_rel"
125,8,4,0,2,0,1,-0.1,0
125,5,1,1,2,1,1,1,1
125,6,2,0,2,0.1,1,0,0
125,5,1,1,2,1,1,1,1
125,7,3,1,2,0,1,0,1
125,7,3,1,2,0,1,-1,0
125,6,2,0,2,0,0,0,0
125,6,2,0,2,0.1,1,0.1,1
125,8,4,0,2,0,1,-0.1,0
125,5,1,1,2,1,1,0,0
125,8,4,0,2,-0.1,0,-0.1,0
125,7,3,1,2,0,1,-1,0
125,6,2,0,2,0.1,1,0,0
125,7,3,1,2,-1,0,-1,0
125,5,1,1,2,0,0,0,0
125,5,1,1,2,1,1,0,0
125,8,4,0,2,0,1,-0.1,0
125,6,2,0,2,0.1,1,0,0
125,8,4,0,2,0,1,0,1
