"subjID","cond1","cond2","infoType","choice","outAbs","outRel","out_c_abs","out_c_rel"
67,3,3,0,2,0,1,0,1
67,2,2,1,1,0,0,0.1,1
67,4,4,1,2,-0.1,0,-0.1,0
67,1,1,0,2,1,1,0,0
67,4,4,1,2,0,1,-0.1,0
67,3,3,0,2,-1,0,-1,0
67,1,1,0,2,0,0,0,0
67,1,1,0,1,0,0,1,1
67,4,4,1,2,0,1,0,1
67,2,2,1,2,0.1,1,0,0
67,3,3,0,2,0,1,-1,0
67,2,2,1,2,0.1,1,0.1,1
67,2,2,1,2,0,0,0,0
67,8,4,0,2,0,1,-0.1,0
67,8,4,0,2,0,1,-0.1,0
67,7,3,1,1,-1,0,0,1
67,6,2,0,1,0,0,0.1,1
67,7,3,1,2,-1,0,-1,0
67,6,2,0,2,0.1,1,0,0
67,6,2,0,2,0,0,0,0
67,5,1,1,1,0,0,0,0
67,5,1,1,2,1,1,0,0
67,8,4,0,2,-0.1,0,-0.1,0
67,7,3,1,2,0,1,0,1
67,5,1,1,2,1,1,1,1
67,5,1,1,2,1,1,0,0
67,8,4,0,1,0,1,0,1
67,6,2,0,2,0.1,1,0.1,1
67,7,3,1,2,0,1,-1,0
67,7,3,1,2,0,1,0,1
67,5,1,1,2,1,1,0,0
67,5,1,1,2,1,1,0,0
67,8,4,0,1,-0.1,0,-0.1,0
67,6,2,0,2,0.1,1,0,0
67,8,4,0,1,-0.1,0,0,1
67,7,3,1,2,0,1,-1,0
67,8,4,0,1,-0.1,0,0,1
67,8,4,0,2,0,1,0,1
67,5,1,1,2,1,1,0,0
67,6,2,0,2,0.1,1,0,0
67,7,3,1,2,-1,0,-1,0
67,7,3,1,2,0,1,-1,0
67,5,1,1,2,0,0,1,1
67,6,2,0,2,0.1,1,0.1,1
67,6,2,0,2,0,0,0,0
67,8,4,0,2,0,1,-0.1,0
67,5,1,1,2,0,0,0,0
67,6,2,0,2,0.1,1,0,0
67,6,2,0,2,0,0,0,0
67,5,1,1,2,1,1,1,1
67,7,3,1,2,0,1,-1,0
67,5,1,1,2,1,1,0,0
67,7,3,1,2,0,1,-1,0
67,6,2,0,2,0.1,1,0,0
67,5,1,1,2,1,1,0,0
67,8,4,0,2,0,1,0,1
67,6,2,0,2,0.1,1,0.1,1
67,7,3,1,2,0,1,0,1
67,8,4,0,2,0,1,-0.1,0
67,8,4,0,2,-0.1,0,-0.1,0
67,7,3,1,2,-1,0,-1,0
67,6,2,0,2,0.1,1,0,0
67,8,4,0,2,0,1,-0.1,0
67,6,2,0,2,0.1,1,0.1,1
67,7,3,1,2,0,1,-1,0
67,8,4,0,2,0,1,-0.1,0
67,8,4,0,2,0,1,0,1
67,6,2,0,2,0.1,1,0,0
67,7,3,1,2,-1,0,-1,0
67,7,3,1,2,0,1,-1,0
67,5,1,1,2,0,0,0,0
67,5,1,1,2,1,1,1,1
67,5,1,1,2,1,1,0,0
67,7,3,1,1,0,1,0,1
67,6,2,0,2,0,0,0,0
67,5,1,1,2,1,1,0,0
67,8,4,0,2,-0.1,0,-0.1,0
67,8,4,0,2,0,1,-0.1,0
67,8,4,0,2,-0.1,0,0,1
67,5,1,1,2,1,1,0,0
67,7,3,1,1,-1,0,0,1
67,8,4,0,2,0,1,-0.1,0
67,8,4,0,2,0,1,-0.1,0
67,7,3,1,2,0,1,0,1
67,5,1,1,2,1,1,1,1
67,6,2,0,2,0.1,1,0,0
67,6,2,0,2,0,0,0,0
67,6,2,0,2,0.1,1,0,0
67,6,2,0,2,0.1,1,0.1,1
67,7,3,1,2,-1,0,-1,0
67,5,1,1,2,0,0,0,0
67,7,3,1,2,0,1,-1,0
67,5,1,1,2,1,1,0,0
